"index","ticker"
0,"ADBE"
1,"ADP"
2,"AMD"
3,"GOOGL"
4,"GOOG"
5,"AMZN"
6,"AEP"
7,"AMGN"
8,"ADI"
9,"AAPL"
10,"AMAT"
11,"ASML"
12,"AZN"
13,"TEAM"
14,"ADSK"
15,"AXON"
16,"BKR"
17,"BIIB"
18,"BKNG"
19,"AVGO"
20,"CDNS"
21,"CDW"
22,"CHTR"
23,"CHKP"
24,"CTAS"
25,"CSCO"
26,"CCEP"
27,"CTSH"
28,"CMCSA"
29,"CPRT"
30,"CSGP"
31,"COST"
32,"CSX"
33,"DHR"
34,"DXCM"
35,"FANG"
36,"EA"
37,"EXC"
38,"FAST"
39,"FTNT"
40,"GILD"
41,"HON"
42,"IBM"
43,"IDXX"
44,"INTC"
45,"INTU"
46,"ISRG"
47,"KDP"
48,"KLAC"
49,"KHC"
50,"LRCX"
51,"LIN"
52,"LULU"
53,"MAR"
54,"MRVL"
55,"MA"
56,"MELI"
57,"META"
58,"MCHP"
59,"MU"
60,"MSFT"
61,"MSTR"
62,"MDLZ"
63,"MNST"
64,"NFLX"
65,"NVDA"
66,"NXPI"
67,"ODFL"
68,"ON"
69,"ORCL"
70,"ORLY"
71,"PCAR"
72,"PANW"
73,"PAYX"
74,"PAYC"
75,"PYPL"
76,"PDD"
77,"PEP"
78,"QCOM"
79,"REGN"
80,"ROP"
81,"ROST"
82,"CRM"
83,"NOW"
84,"SHOP"
85,"SBUX"
86,"SNPS"
87,"TTWO"
88,"TSLA"
89,"TXN"
90,"TMO"
91,"TMUS"
92,"TTD"
93,"VRSK"
94,"VRTX"
95,"V"
96,"WBD"
97,"WDAY"
98,"XEL"
99,"ZS"
