src,dst,,
0,4,ADS.DE,AIR.PA
0,7,ADS.DE,ASML.AS
0,19,ADS.DE,EL.PA
0,20,ADS.DE,RACE.MI
0,22,ADS.DE,RMS.PA
0,24,ADS.DE,ITX.MC
0,25,ADS.DE,IFX.DE
0,28,ADS.DE,KER.PA
0,29,ADS.DE,OR.PA
0,30,ADS.DE,MC.PA
0,33,ADS.DE,NOKIA.HE
0,40,ADS.DE,SAP.DE
0,41,ADS.DE,SU.PA
0,42,ADS.DE,SIE.DE
0,46,ADS.DE,DG.PA
1,0,ADYEN.AS,ADS.DE
1,4,ADYEN.AS,AIR.PA
1,6,ADYEN.AS,ABI.BR
1,7,ADYEN.AS,ASML.AS
1,9,ADYEN.AS,BAS.DE
1,11,ADYEN.AS,BBVA.MC
1,12,ADYEN.AS,BNP.PA
1,15,ADYEN.AS,DHL.DE
1,19,ADYEN.AS,EL.PA
1,20,ADYEN.AS,RACE.MI
1,21,ADYEN.AS,FLTR.L
1,22,ADYEN.AS,RMS.PA
1,25,ADYEN.AS,IFX.DE
1,29,ADYEN.AS,OR.PA
1,30,ADYEN.AS,MC.PA
1,31,ADYEN.AS,MBG.DE
1,32,ADYEN.AS,MUV2.DE
1,33,ADYEN.AS,NOKIA.HE
1,34,ADYEN.AS,NDA.FI.HE
1,35,ADYEN.AS,RI.PA
1,37,ADYEN.AS,SAF.PA
1,38,ADYEN.AS,SGO.PA
1,39,ADYEN.AS,SAN.PA
1,40,ADYEN.AS,SAP.DE
1,42,ADYEN.AS,SIE.DE
1,43,ADYEN.AS,STLAM.MI
1,44,ADYEN.AS,TTE.PA
1,48,ADYEN.AS,VNA.DE
1,49,ADYEN.AS,WKL.AS
2,21,AD.AS,FLTR.L
2,35,AD.AS,RI.PA
2,40,AD.AS,SAP.DE
2,44,AD.AS,TTE.PA
3,2,AI.PA,AD.AS
3,6,AI.PA,ABI.BR
3,10,AI.PA,BAYN.DE
3,19,AI.PA,EL.PA
3,20,AI.PA,RACE.MI
3,22,AI.PA,RMS.PA
3,27,AI.PA,ISP.MI
3,28,AI.PA,KER.PA
3,29,AI.PA,OR.PA
3,30,AI.PA,MC.PA
3,31,AI.PA,MBG.DE
3,33,AI.PA,NOKIA.HE
3,35,AI.PA,RI.PA
3,37,AI.PA,SAF.PA
3,40,AI.PA,SAP.DE
3,41,AI.PA,SU.PA
3,44,AI.PA,TTE.PA
3,49,AI.PA,WKL.AS
4,0,AIR.PA,ADS.DE
4,2,AIR.PA,AD.AS
4,5,AIR.PA,ALV.DE
4,6,AIR.PA,ABI.BR
4,7,AIR.PA,ASML.AS
4,15,AIR.PA,DHL.DE
4,16,AIR.PA,DTE.DE
4,29,AIR.PA,OR.PA
4,33,AIR.PA,NOKIA.HE
4,37,AIR.PA,SAF.PA
4,43,AIR.PA,STLAM.MI
4,47,AIR.PA,VOW3.DE
5,4,ALV.DE,AIR.PA
5,6,ALV.DE,ABI.BR
5,8,ALV.DE,CS.PA
5,10,ALV.DE,BAYN.DE
5,13,ALV.DE,BN.PA
5,15,ALV.DE,DHL.DE
5,16,ALV.DE,DTE.DE
5,19,ALV.DE,EL.PA
5,25,ALV.DE,IFX.DE
5,26,ALV.DE,INGA.AS
5,27,ALV.DE,ISP.MI
5,28,ALV.DE,KER.PA
5,31,ALV.DE,MBG.DE
5,32,ALV.DE,MUV2.DE
5,35,ALV.DE,RI.PA
5,39,ALV.DE,SAN.PA
5,40,ALV.DE,SAP.DE
5,42,ALV.DE,SIE.DE
5,43,ALV.DE,STLAM.MI
5,44,ALV.DE,TTE.PA
6,2,ABI.BR,AD.AS
6,5,ABI.BR,ALV.DE
6,13,ABI.BR,BN.PA
6,16,ABI.BR,DTE.DE
6,19,ABI.BR,EL.PA
6,20,ABI.BR,RACE.MI
6,21,ABI.BR,FLTR.L
6,36,ABI.BR,HEIA.AS
6,37,ABI.BR,SAF.PA
6,42,ABI.BR,SIE.DE
7,1,ASML.AS,ADYEN.AS
7,2,ASML.AS,AD.AS
7,3,ASML.AS,AI.PA
7,4,ASML.AS,AIR.PA
7,5,ASML.AS,ALV.DE
7,16,ASML.AS,DTE.DE
7,19,ASML.AS,EL.PA
7,20,ASML.AS,RACE.MI
7,22,ASML.AS,RMS.PA
7,24,ASML.AS,ITX.MC
7,26,ASML.AS,INGA.AS
7,28,ASML.AS,KER.PA
7,29,ASML.AS,OR.PA
7,30,ASML.AS,MC.PA
7,31,ASML.AS,MBG.DE
7,33,ASML.AS,NOKIA.HE
7,40,ASML.AS,SAP.DE
7,41,ASML.AS,SU.PA
7,49,ASML.AS,WKL.AS
8,2,CS.PA,AD.AS
8,3,CS.PA,AI.PA
8,15,CS.PA,DHL.DE
8,19,CS.PA,EL.PA
8,20,CS.PA,RACE.MI
8,21,CS.PA,FLTR.L
8,23,CS.PA,IBE.MC
8,26,CS.PA,INGA.AS
8,27,CS.PA,ISP.MI
8,28,CS.PA,KER.PA
8,34,CS.PA,NDA.FI.HE
8,38,CS.PA,SGO.PA
8,39,CS.PA,SAN.PA
8,43,CS.PA,STLAM.MI
8,44,CS.PA,TTE.PA
9,0,BAS.DE,ADS.DE
9,3,BAS.DE,AI.PA
9,5,BAS.DE,ALV.DE
9,6,BAS.DE,ABI.BR
9,7,BAS.DE,ASML.AS
9,10,BAS.DE,BAYN.DE
9,12,BAS.DE,BNP.PA
9,15,BAS.DE,DHL.DE
9,18,BAS.DE,ENI.MI
9,20,BAS.DE,RACE.MI
9,21,BAS.DE,FLTR.L
9,22,BAS.DE,RMS.PA
9,23,BAS.DE,IBE.MC
9,24,BAS.DE,ITX.MC
9,25,BAS.DE,IFX.DE
9,26,BAS.DE,INGA.AS
9,27,BAS.DE,ISP.MI
9,28,BAS.DE,KER.PA
9,29,BAS.DE,OR.PA
9,30,BAS.DE,MC.PA
9,31,BAS.DE,MBG.DE
9,34,BAS.DE,NDA.FI.HE
9,38,BAS.DE,SGO.PA
9,39,BAS.DE,SAN.PA
9,42,BAS.DE,SIE.DE
9,43,BAS.DE,STLAM.MI
9,44,BAS.DE,TTE.PA
9,47,BAS.DE,VOW3.DE
9,49,BAS.DE,WKL.AS
